instrument_id,asset_class,sub_asset_class,desk,book,notional,direction,maturity,currency,geography,delta,gamma,vega,rho,cs01,dv01,theta,convexity,cross_gamma,dS,dVol,dR,dSpread,pnl_delta,pnl_gamma,pnl_vega,pnl_rho,pnl_cs01,pnl_theta,pnl_convexity,pnl_cross_gamma,pnl_funding,pnl_liquidity,pnl_total
INS-000001,Rates,Macro,Cross-Asset Vol,BOOK-010,1105800.6554149846,-1,2029-12-17 10:15:23.562605,USD,APAC,0.9791647263242464,0.017787621531008952,0.13011360404290348,0.011491722634328922,0.09120317691075042,0.06467486902381295,-0.04260717240799871,0.03870810094260426,0.006444511449109878,0.00564,0.0,0.00564,0.0,-0.00552248905646875,2.829085629263912e-07,0.0,6.481331565761512e-05,0.0,-0.0011673197919999645,6.156446038719323e-07,0.0,-27.645016385374618,-19.90441179746972,-47.55605227982399
INS-000002,Commodities,Credit,HY Credit,BOOK-048,6501772.345625235,-1,2030-04-21 10:15:23.562605,CAD,EMEA,6.744694242912138,0.14428004639211756,0.5546478107861348,0.5214385638247305,0.6838596416504424,0.615104036502931,-0.08799942003129085,0.11365961148639148,0.038756583257423066,-0.0846,0.0,0.0,0.0,0.5706011329503669,0.000516317688417904,0.0,0.0,0.0,-0.002410943014555914,0.0,-0.0,-162.54430864063087,-117.03190222125421,-279.00750435426085
INS-000003,Credit,Flow,XVA,BOOK-066,4053589.6409947276,-1,2026-05-11 10:15:23.562605,AUD,EMEA,2.412148170634402,0.07500914627233123,0.5979915027827529,0.14042215261457713,0.6439869303923285,0.2869810728690465,-0.11569930114242194,0.13176169199807056,0.014654892560507757,0.0,0.0,0.0,0.007755,-0.0,0.0,0.0,0.0,0.004994118645192507,-0.0031698438669156693,0.0,0.0,-101.3397410248682,-72.9646135379051,-174.302530287995
INS-000004,Equities,Flow,Structured Solutions,BOOK-007,6908486.188879177,1,2027-03-23 10:15:23.562605,JPY,APAC,3.3296444486423304,0.13209026120115358,0.6809220184130322,0.7767994385198366,0.5758695920715993,0.5891204967636945,-0.031507592630187625,0.0809342374368824,0.04156982620876538,-0.141,0.423,0.0,0.0,-0.46947986725856855,0.0013130432414700669,0.2880300137887126,0.0,0.0,-0.0008632217158955513,0.0,-0.0011095087421948034,-172.71215472197943,-124.35275139982518,-297.2470156624911
INS-000005,Equities,Macro,HY Credit,BOOK-039,8014141.601487247,1,2033-09-09 10:15:23.562605,USD,US,0.8243075662769153,0.2743707220349752,1.094296460301304,0.5094144446934281,0.45361108331323824,0.49876541412276104,-0.39229870379550874,0.1430038674237062,0.047571380196577966,-0.141,0.423,0.0,0.0,-0.11622736684504505,0.0027273821623886706,0.46288740270745155,0.0,0.0,-0.010747909693027637,0.0,-0.0012696916735063636,-200.3535400371812,-144.25454882677042,-344.27071904729337
INS-000006,Volatility,Commod,Rates Macro,BOOK-026,9801036.245851528,1,2029-10-15 10:15:23.562605,CHF,APAC,11.173848218993408,0.13643365147023412,0.5102952778280818,0.3971824779884809,0.44177436390432645,0.5170821252901903,-0.00905077418098189,0.29776208758864514,0.06746137255042349,0.0,0.141,0.0,0.0,0.0,0.0,0.07195163417375953,0.0,0.0,-0.00024796641591731206,0.0,0.0,-245.0259061462882,-176.41865242532748,-421.37285490385784
INS-000007,Rates,Commod,EM Rates,BOOK-004,4654340.039311966,-1,2034-08-17 10:15:23.562605,AUD,APAC,3.7506070908058553,0.04401129202821102,-0.04168854148271985,0.44884862923017327,0.28042131567331957,0.1422717355558891,-0.10282448459237102,0.009241866670358952,0.01784687747267365,0.00564,0.0,0.00564,0.0,-0.021153423992145023,6.999907974502906e-07,-0.0,0.0025315062688581772,0.0,-0.0028171091669142744,1.4699004101872508e-07,0.0,-116.35850098279914,-83.77812070761537,-200.15805987032388
INS-000008,Commodities,Commod,FX Options,BOOK-081,8499076.71540018,-1,2030-02-17 10:15:23.562605,JPY,EMEA,7.411245641533087,0.19573441611222764,1.3826387445778396,0.17815047309197507,-0.013986123863742192,0.509222808992032,-0.25055383755375127,-0.013940275680243345,0.04163263687725448,-0.0846,0.0,0.0,0.0,0.6269913812736991,0.0007004512668108955,0.0,0.0,-0.0,-0.006864488700102774,-0.0,-0.0,-212.47691788500453,-152.98338087720322,-364.83947141836734
INS-000009,FX,Macro,XVA,BOOK-045,7535974.232880581,-1,2036-01-28 10:15:23.562605,USD,EMEA,3.9619766068772253,0.3047459366553527,-0.03770113629314232,0.2335043255720388,0.27722195503716573,0.5251479369428863,-0.16741345646633152,0.1625293762933913,0.03354605883697187,-0.0564,0.282,0.0,0.0,0.2234554806278755,0.0004846923173316054,-0.010631720434666134,0.0,0.0,-0.004586670040173466,0.0,-0.0002387606520741459,-188.39935582201454,-135.64753619185043,-323.83840899204665
INS-000010,Rates,Flow,Prime Finance,BOOK-076,8368773.274832712,-1,2027-12-26 10:15:23.562605,JPY,APAC,10.287517995059337,0.09829386522992277,1.3196678345550987,0.980496735179509,0.6668054098283558,0.4179106916870074,-0.20803811226248106,0.08843455163077359,0.054787740984107366,0.00564,0.0,0.00564,0.0,-0.058021601492134665,1.5633442677088758e-06,0.0,0.0055300015864124304,0.0,-0.005699674308561125,1.4065338567771277e-06,0.0,-209.2193318708178,-150.63791894698878,-359.91543912214274
INS-000011,Credit,Commod,Rates Macro,BOOK-059,6200570.123116001,1,2028-01-22 10:15:23.562605,CNY,APAC,7.007389561212422,0.11337885622868965,0.25278296657046023,0.10441049333308805,0.5238110616484709,0.23248279334697086,-0.020516832966071326,0.09584195756272769,0.036019834353926014,0.0,0.0,0.0,0.007755,0.0,0.0,0.0,0.0,0.004062154783083892,-0.0005621050127690774,0.0,0.0,-155.0142530779,-111.61026221608799,-266.6210152442177
INS-000012,Volatility,Options,Structured Solutions,BOOK-088,10957837.8496553,-1,2032-01-08 10:15:23.562605,GBP,EMEA,8.299046060879034,0.1712003516964905,1.0575255815495477,-0.4930834322891111,0.4164764709840273,0.3682903608743606,-0.04733473351252205,0.12276744312415104,0.08048902287258772,0.0,0.141,0.0,0.0,-0.0,0.0,0.1491111069984862,-0.0,0.0,-0.0012968420140417,0.0,0.0,-273.9459462413825,-197.2410812937954,-471.03921327019344
INS-000013,Commodities,Macro,Securitized Products,BOOK-100,7241228.378925685,1,2034-02-24 10:15:23.562605,CHF,LATAM,4.384185716981129,0.17682648777253565,0.0,0.6769594807679331,0.36205748619685674,0.41503517566165665,-0.14630587486908697,0.10956102852413137,0.05557502323624484,-0.0846,0.0,0.0,0.0,-0.37090211165660353,0.0006327877326130405,0.0,0.0,0.0,-0.004008380133399643,0.0,-0.0,-181.03070947314214,-130.34211082066233,-311.74709799786183
INS-000014,Commodities,Macro,Volatility Trading,BOOK-061,11935455.558759421,1,2027-08-15 10:15:23.562605,GBP,LATAM,8.058318490089288,0.22384241079879422,-0.11596300492838478,0.9418450881069296,0.8297327623599403,0.8289371315210168,-0.13843286304321412,0.19863467781507316,0.03716101512544365,-0.0846,0.0,0.0,0.0,-0.6817337442615538,0.0008010379744363489,-0.0,0.0,0.0,-0.00379268117926614,0.0,-0.0,-298.3863889689855,-214.83820005766955,-513.9093144141214
INS-000015,Commodities,Flow,Commodities,BOOK-036,5524028.365794441,1,2031-03-07 10:15:23.562605,CAD,EMEA,2.8751521401349462,0.12981783559379614,0.4720782037745517,-0.012218380660672061,0.3751982732749766,0.5581198143618123,-0.18013447642251462,0.01990640296058255,0.010317622049046132,-0.0846,0.0,0.0,0.0,-0.24323787105541644,0.00046456351009924694,0.0,-0.0,0.0,-0.004935191134863414,0.0,-0.0,-138.10070914486104,-99.43251058429993,-237.78092822784114
INS-000016,Commodities,Commod,Municipal,BOOK-043,9357068.349888884,1,2028-05-30 10:15:23.562605,JPY,APAC,7.572651575946244,0.10881123919770753,0.9721884018985454,0.925028633967218,1.0256197950308716,0.39980751312245477,-0.15775030216991598,0.08792278858069383,0.025898487882059743,-0.0846,0.0,0.0,0.0,-0.6406463233250522,0.0003893897243681322,0.0,0.0,0.0,-0.0043219260868470125,0.0,-0.0,-233.9267087472221,-168.42723029799987,-402.9985179049095
