driver_id,shock,lock
DRV-0023313,-0.0402332719948808,False
DRV-0017796,0.09743123496702034,False
DRV-0033921,-0.021689552556381674,False
DRV-0055978,0.05841466591779163,False
DRV-0058800,-0.09354444135971596,True
DRV-0024377,-0.11435735196291573,False
DRV-0037062,-0.0018618225596852913,False
DRV-0014519,-0.03582340270901665,False
DRV-0037792,0.007046011306903657,False
DRV-0030649,0.042023647440533156,False
DRV-0043388,0.025294385174560473,False
DRV-0023245,-0.028637866121982773,False
DRV-0032754,-0.07429948854682585,True
DRV-0058436,-0.08422619686305054,False
DRV-0002977,0.01887455481049863,False
DRV-0012888,0.13746498767070267,False
DRV-0004834,-0.0004718555705392865,True
DRV-0032998,-0.09538263740983931,False
DRV-0039717,-0.01395522420777853,False
DRV-0022391,0.06351465523952204,False
DRV-0025660,0.015439236067532919,False
DRV-0051262,-0.10015468488861809,True
DRV-0013931,0.000904364804728248,False
DRV-0032005,0.043614780146761845,True
DRV-0013113,0.06705166725024139,True
DRV-0021624,-0.16003446567188956,False
DRV-0024293,-0.033020460247105074,False
DRV-0047814,0.04048417353710147,False
DRV-0022383,0.15455002255395303,False
DRV-0043971,0.09398931242631395,False
DRV-0057516,-0.08808188197352887,False
DRV-0046332,0.07745691102861793,False
DRV-0036478,-0.03492758535991903,False
DRV-0018398,-0.009956487997159813,True
DRV-0019077,-0.026546038803444243,False
DRV-0041587,0.02471064939782268,False
DRV-0018412,0.1355629880145561,False
DRV-0056929,-0.07840774696265174,False
DRV-0032686,0.06872390162581231,False
DRV-0009212,0.006163582703912429,False
DRV-0026013,0.06510808053165237,False
DRV-0052910,0.0680333224689862,False
DRV-0025886,-0.00860349742479821,False
DRV-0010681,0.05393514959078385,False
DRV-0035347,0.09826613533898206,False
DRV-0055935,-0.08933758206308054,True
DRV-0032921,0.10413709258608732,False
DRV-0019131,0.027016511041135987,False
DRV-0016190,0.12319266929841494,False
DRV-0016941,-0.1652152749391787,False
DRV-0048699,-0.0028635629974876485,False
DRV-0056963,-0.038690434702339294,True
DRV-0030615,-0.052883406158163594,True
DRV-0041702,-0.15434033351474932,False
DRV-0002743,-0.019975030812368046,False
DRV-0015220,-0.02192914237344428,False
